model,track,dominant_noise_type,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
falcon-7b,text_only,distance_warp,463,322,141,137,53,88,185,0.7211,0.4255,0.6241,0.5352,0.486,0.3759,0.0756,0.0,0.0,0.0043
falcon-7b,text_only,info_drop,487,439,48,306,28,20,133,0.9162,0.697,0.4167,0.7917,0.6694,0.5833,0.2088,0.0041,0.0041,0.0308
falcon-7b,text_only,phantom_inject,13,13,0,7,0,0,6,1.0,0.5385,,0.7,0.5385,,0.0,0.0,0.0,0.0
falcon-7b,text_only,position_jitter,452,397,55,267,37,18,130,0.8783,0.6725,0.3273,0.7617,0.6305,0.6727,0.1814,0.0022,0.0022,0.0487
falcon-7b,text_only,state_flip,2254,1646,608,973,309,299,673,0.759,0.5911,0.4918,0.6646,0.5643,0.5082,0.1293,0.0018,0.0018,0.0266
llama3-chatqa-8b,text_only,distance_warp,463,322,141,35,0,141,287,1.0,0.1087,1.0,0.1961,0.3801,0.0,0.0445,0.0,0.0,0.0
llama3-chatqa-8b,text_only,info_drop,487,439,48,36,0,48,403,1.0,0.082,1.0,0.1516,0.1725,0.0,0.0475,0.0,0.0,0.0
llama3-chatqa-8b,text_only,phantom_inject,13,13,0,13,0,0,0,1.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0
llama3-chatqa-8b,text_only,position_jitter,452,397,55,31,0,55,366,1.0,0.0781,1.0,0.1449,0.1903,0.0,0.0533,0.0,0.0,0.0
llama3-chatqa-8b,text_only,state_flip,2254,1646,608,821,260,348,825,0.7595,0.4988,0.5724,0.6021,0.5186,0.4276,0.1911,0.0421,0.0395,0.0
llama3.2-vision-11b,image_only,distance_warp,463,322,141,290,130,11,32,0.6905,0.9006,0.078,0.7817,0.6501,0.922,0.3747,0.0,0.0,0.0
llama3.2-vision-11b,image_only,info_drop,487,439,48,431,44,4,8,0.9074,0.9818,0.0833,0.9431,0.8932,0.9167,0.4825,0.0,0.0,0.0
llama3.2-vision-11b,image_only,phantom_inject,13,13,0,12,0,0,1,1.0,0.9231,,0.96,0.9231,,0.4744,0.0,0.0,0.0
llama3.2-vision-11b,image_only,position_jitter,452,397,55,390,50,5,7,0.8864,0.9824,0.0909,0.9319,0.8739,0.9091,0.495,0.0,0.0,0.0
llama3.2-vision-11b,image_only,state_flip,2254,1646,608,1551,545,63,95,0.74,0.9423,0.1036,0.829,0.7161,0.8964,0.4246,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,distance_warp,463,322,141,287,116,25,35,0.7122,0.8913,0.1773,0.7917,0.6739,0.8227,0.4249,0.0022,0.0022,0.0
llama3.2-vision-11b,text_and_image,info_drop,487,439,48,390,40,8,49,0.907,0.8884,0.1667,0.8976,0.8172,0.8333,0.5171,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,phantom_inject,13,13,0,2,0,0,11,1.0,0.1538,,0.2666,0.1538,,0.1923,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,position_jitter,452,397,55,346,43,12,51,0.8895,0.8715,0.2182,0.8804,0.792,0.7818,0.5306,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,state_flip,2254,1646,608,1486,506,102,160,0.746,0.9028,0.1678,0.8169,0.7045,0.8322,0.454,0.0794,0.0785,0.0
llama3.2-vision-11b,text_only,distance_warp,463,322,141,322,141,0,0,0.6955,1.0,0.0,0.8204,0.6955,1.0,0.5409,0.0,0.0,0.0
llama3.2-vision-11b,text_only,info_drop,487,439,48,439,48,0,0,0.9014,1.0,0.0,0.9481,0.9014,1.0,0.5828,0.0,0.0,0.0
llama3.2-vision-11b,text_only,phantom_inject,13,13,0,13,0,0,0,1.0,1.0,,1.0,1.0,,0.359,0.0,0.0,0.0
llama3.2-vision-11b,text_only,position_jitter,452,397,55,397,55,0,0,0.8783,1.0,0.0,0.9352,0.8783,1.0,0.6037,0.0,0.0,0.0
llama3.2-vision-11b,text_only,state_flip,2254,1646,608,1646,608,0,0,0.7303,1.0,0.0,0.8441,0.7303,1.0,0.5315,0.0067,0.0067,0.0
llava1.6-13b,image_only,distance_warp,463,322,141,61,0,141,261,1.0,0.1894,1.0,0.3185,0.4363,0.0,0.5766,0.0,0.0,0.0
llava1.6-13b,image_only,info_drop,487,439,48,52,0,48,387,1.0,0.1185,1.0,0.2119,0.2053,0.0,0.6158,0.0,0.0,0.0
llava1.6-13b,image_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.4872,0.0,0.0,0.0
llava1.6-13b,image_only,position_jitter,452,397,55,40,2,53,357,0.9524,0.1008,0.9636,0.1823,0.2058,0.0364,0.6251,0.0,0.0,0.0
llava1.6-13b,image_only,state_flip,2254,1646,608,291,15,593,1355,0.951,0.1768,0.9753,0.2982,0.3922,0.0247,0.6024,0.0004,0.0004,0.0
llava1.6-13b,text_and_image,distance_warp,463,322,141,304,113,28,18,0.729,0.9441,0.1986,0.8227,0.7171,0.8014,0.5838,0.0,0.0,0.0
llava1.6-13b,text_and_image,info_drop,487,439,48,409,40,8,30,0.9109,0.9317,0.1667,0.9212,0.8563,0.8333,0.6242,0.0,0.0,0.0
llava1.6-13b,text_and_image,phantom_inject,13,13,0,13,0,0,0,1.0,1.0,,1.0,1.0,,0.4359,1.0,1.0,0.0
llava1.6-13b,text_and_image,position_jitter,452,397,55,374,47,8,23,0.8884,0.9421,0.1455,0.9145,0.8451,0.8545,0.6293,0.0,0.0,0.0
llava1.6-13b,text_and_image,state_flip,2254,1646,608,1610,571,37,36,0.7382,0.9781,0.0609,0.8414,0.7307,0.9391,0.5765,0.0,0.0,0.0
llava1.6-13b,text_only,distance_warp,463,322,141,322,132,9,0,0.7093,1.0,0.0638,0.8299,0.7149,0.9362,0.4674,0.0,0.0,0.0
