model,track,dominant_noise_type,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
llava1.6-13b,text_only,info_drop,487,439,48,438,48,0,1,0.9012,0.9977,0.0,0.947,0.8994,1.0,0.467,0.0,0.0,0.0
llava1.6-13b,text_only,phantom_inject,13,13,0,13,0,0,0,1.0,1.0,,1.0,1.0,,0.1923,1.0,1.0,0.0
llava1.6-13b,text_only,position_jitter,452,397,55,397,55,0,0,0.8783,1.0,0.0,0.9352,0.8783,1.0,0.4631,0.0,0.0,0.0
llava1.6-13b,text_only,state_flip,2254,1646,608,1644,607,1,2,0.7303,0.9988,0.0016,0.8437,0.7298,0.9984,0.4147,0.0,0.0,0.0
llava1.6-7b,image_only,distance_warp,463,322,141,45,1,140,277,0.9783,0.1398,0.9929,0.2446,0.3996,0.0071,0.5745,0.0,0.0,0.0
llava1.6-7b,image_only,info_drop,487,439,48,124,2,46,315,0.9841,0.2825,0.9583,0.439,0.3491,0.0417,0.5604,0.0,0.0,0.0
llava1.6-7b,image_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.2436,0.0,0.0,0.0
llava1.6-7b,image_only,position_jitter,452,397,55,116,3,52,281,0.9748,0.2922,0.9455,0.4496,0.3717,0.0545,0.5689,0.0,0.0,0.0
llava1.6-7b,image_only,state_flip,2254,1646,608,344,10,598,1302,0.9718,0.209,0.9836,0.344,0.4179,0.0164,0.5758,0.0,0.0,0.0
llava1.6-7b,text_and_image,distance_warp,463,322,141,220,53,88,102,0.8059,0.6832,0.6241,0.7395,0.6652,0.3759,0.3768,0.0,0.0,0.0
llava1.6-7b,text_and_image,info_drop,487,439,48,346,25,23,93,0.9326,0.7882,0.4792,0.8543,0.7577,0.5208,0.4434,0.0,0.0,0.0
llava1.6-7b,text_and_image,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.0,0.0,0.0,0.0
llava1.6-7b,text_and_image,position_jitter,452,397,55,331,31,24,66,0.9144,0.8338,0.4364,0.8722,0.7854,0.5636,0.4794,0.0,0.0,0.0
llava1.6-7b,text_and_image,state_flip,2254,1646,608,1384,315,293,262,0.8146,0.8408,0.4819,0.8275,0.744,0.5181,0.4353,0.0,0.0,0.0
llava1.6-7b,text_only,distance_warp,463,322,141,214,22,119,108,0.9068,0.6646,0.844,0.767,0.7192,0.156,0.2019,0.0,0.0,0.0
llava1.6-7b,text_only,info_drop,487,439,48,365,15,33,74,0.9605,0.8314,0.6875,0.8913,0.8172,0.3125,0.3504,0.0,0.0,0.0
llava1.6-7b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.1923,1.0,1.0,0.0
llava1.6-7b,text_only,position_jitter,452,397,55,333,20,35,64,0.9433,0.8388,0.6364,0.888,0.8142,0.3636,0.3476,0.0,0.0,0.0
llava1.6-7b,text_only,state_flip,2254,1646,608,1407,300,308,239,0.8243,0.8548,0.5066,0.8393,0.7609,0.4934,0.3064,0.0,0.0,0.0
mistral-7b,text_only,distance_warp,463,322,141,142,7,134,180,0.953,0.441,0.9504,0.603,0.5961,0.0496,0.4384,0.0,0.0,0.0
mistral-7b,text_only,info_drop,487,439,48,311,7,41,128,0.978,0.7084,0.8542,0.8216,0.7228,0.1458,0.5137,0.0,0.0,0.0
mistral-7b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.0,0.0,0.0,0.0
mistral-7b,text_only,position_jitter,452,397,55,278,10,45,119,0.9653,0.7003,0.8182,0.8117,0.7146,0.1818,0.5197,0.0,0.0,0.0
mistral-7b,text_only,state_flip,2254,1646,608,997,112,496,649,0.899,0.6057,0.8158,0.7238,0.6624,0.1842,0.46,0.0586,0.0568,0.0009
mistral-nemo-12b,text_only,distance_warp,463,322,141,284,93,48,38,0.7533,0.882,0.3404,0.8126,0.7171,0.6596,0.5569,0.0,0.0,0.0
mistral-nemo-12b,text_only,info_drop,487,439,48,424,38,10,15,0.9177,0.9658,0.2083,0.9411,0.8912,0.7917,0.6298,0.0,0.0,0.0
mistral-nemo-12b,text_only,phantom_inject,13,13,0,13,0,0,0,1.0,1.0,,1.0,1.0,,0.1923,1.0,1.0,0.0
mistral-nemo-12b,text_only,position_jitter,452,397,55,392,45,10,5,0.897,0.9874,0.1818,0.94,0.8894,0.8182,0.6461,0.0,0.0,0.0
mistral-nemo-12b,text_only,state_flip,2254,1646,608,1626,580,28,20,0.7371,0.9878,0.0461,0.8442,0.7338,0.9539,0.6014,0.0027,0.0027,0.0
qwen2.5-14b,text_only,distance_warp,463,322,141,180,13,128,142,0.9326,0.559,0.9078,0.699,0.6652,0.0922,0.5295,0.0,0.0,0.0
qwen2.5-14b,text_only,info_drop,487,439,48,346,17,31,93,0.9532,0.7882,0.6458,0.8629,0.7741,0.3542,0.6261,0.0,0.0,0.0
qwen2.5-14b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.2308,1.0,1.0,0.0
qwen2.5-14b,text_only,position_jitter,452,397,55,308,20,35,89,0.939,0.7758,0.6364,0.8496,0.7588,0.3636,0.6218,0.0,0.0,0.0
qwen2.5-14b,text_only,state_flip,2254,1646,608,1393,404,204,253,0.7752,0.8463,0.3355,0.8092,0.7085,0.6645,0.5201,0.0044,0.0044,0.0
qwen2.5-7b,text_only,distance_warp,463,322,141,224,28,113,98,0.8889,0.6957,0.8014,0.7805,0.7279,0.1986,0.4451,0.0,0.0,0.0
qwen2.5-7b,text_only,info_drop,487,439,48,377,24,24,62,0.9401,0.8588,0.5,0.8976,0.8234,0.5,0.5702,0.0,0.0,0.0
qwen2.5-7b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.0,0.0,0.0,0.0
qwen2.5-7b,text_only,position_jitter,452,397,55,345,27,28,52,0.9274,0.869,0.5091,0.8973,0.8252,0.4909,0.5668,0.0,0.0,0.0
qwen2.5-7b,text_only,state_flip,2254,1646,608,1512,426,182,134,0.7802,0.9186,0.2993,0.8438,0.7516,0.7007,0.5236,0.0022,0.0022,0.0
qwen2.5-vl-7b,image_only,distance_warp,463,322,141,66,0,141,256,1.0,0.205,1.0,0.3402,0.4471,0.0,0.484,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,info_drop,487,439,48,116,0,48,323,1.0,0.2642,1.0,0.418,0.3368,0.0,0.4867,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.4231,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,position_jitter,452,397,55,111,0,55,286,1.0,0.2796,1.0,0.437,0.3673,0.0,0.5046,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,state_flip,2254,1646,608,435,8,600,1211,0.9819,0.2643,0.9868,0.4165,0.4592,0.0132,0.501,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,distance_warp,463,322,141,201,6,135,121,0.971,0.6242,0.9574,0.7599,0.7257,0.0426,0.5802,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,info_drop,487,439,48,336,10,38,103,0.9711,0.7654,0.7917,0.8561,0.768,0.2083,0.6386,0.0041,0.0021,0.0
qwen2.5-vl-7b,text_and_image,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.2179,1.0,1.0,0.0
qwen2.5-vl-7b,text_and_image,position_jitter,452,397,55,306,10,45,91,0.9684,0.7708,0.8182,0.8584,0.7765,0.1818,0.6432,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,state_flip,2254,1646,608,1472,358,250,174,0.8044,0.8943,0.4112,0.847,0.764,0.5888,0.5713,0.024,0.024,0.0
qwen2.5-vl-7b,text_only,distance_warp,463,322,141,290,66,75,32,0.8146,0.9006,0.5319,0.8554,0.7883,0.4681,0.5078,0.0065,0.0043,0.0
qwen2.5-vl-7b,text_only,info_drop,487,439,48,409,33,15,30,0.9253,0.9317,0.3125,0.9285,0.8706,0.6875,0.6295,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.5,0.9231,0.9231,0.0
qwen2.5-vl-7b,text_only,position_jitter,452,397,55,377,36,19,20,0.9128,0.9496,0.3455,0.9308,0.8761,0.6545,0.6285,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,state_flip,2254,1646,608,1630,570,38,16,0.7409,0.9903,0.0625,0.8476,0.74,0.9375,0.5384,0.0142,0.0142,0.0
qwen2vl-7b,image_only,distance_warp,463,322,141,297,119,22,25,0.7139,0.9224,0.156,0.8049,0.689,0.844,0.4948,0.013,0.013,0.0
qwen2vl-7b,image_only,info_drop,487,439,48,435,42,6,4,0.9119,0.9909,0.125,0.9498,0.9055,0.875,0.5213,0.0185,0.0185,0.0
qwen2vl-7b,image_only,phantom_inject,13,13,0,4,0,0,9,1.0,0.3077,,0.4706,0.3077,,0.3461,0.0,0.0,0.0
qwen2vl-7b,image_only,position_jitter,452,397,55,393,51,4,4,0.8851,0.9899,0.0727,0.9346,0.8783,0.9273,0.5407,0.0133,0.0133,0.0
qwen2vl-7b,image_only,state_flip,2254,1646,608,1559,495,113,87,0.759,0.9471,0.1859,0.8427,0.7418,0.8141,0.5235,0.0115,0.0115,0.0
qwen2vl-7b,text_and_image,distance_warp,463,322,141,322,140,1,0,0.697,1.0,0.0071,0.8214,0.6976,0.9929,0.5859,0.0,0.0,0.0
qwen2vl-7b,text_and_image,info_drop,487,439,48,439,48,0,0,0.9014,1.0,0.0,0.9481,0.9014,1.0,0.6276,0.0,0.0,0.0
qwen2vl-7b,text_and_image,phantom_inject,13,13,0,6,0,0,7,1.0,0.4615,,0.6315,0.4615,,0.282,0.9231,0.9231,0.0
qwen2vl-7b,text_and_image,position_jitter,452,397,55,397,55,0,0,0.8783,1.0,0.0,0.9352,0.8783,1.0,0.6281,0.0044,0.0044,0.0
qwen2vl-7b,text_and_image,state_flip,2254,1646,608,1643,597,11,3,0.7335,0.9982,0.0181,0.8456,0.7338,0.9819,0.5769,0.0293,0.0293,0.0
qwen2vl-7b,text_only,distance_warp,463,322,141,304,110,31,18,0.7343,0.9441,0.2199,0.8261,0.7235,0.7801,0.5274,0.0,0.0,0.0
qwen2vl-7b,text_only,info_drop,487,439,48,435,45,3,4,0.9062,0.9909,0.0625,0.9467,0.8994,0.9375,0.5854,0.0,0.0,0.0
qwen2vl-7b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.359,0.0,0.0,0.0
qwen2vl-7b,text_only,position_jitter,452,397,55,396,54,1,1,0.88,0.9975,0.0182,0.9351,0.8783,0.9818,0.6012,0.0,0.0,0.0
qwen2vl-7b,text_only,state_flip,2254,1646,608,1631,577,31,15,0.7387,0.9909,0.051,0.8464,0.7374,0.949,0.5315,0.0377,0.0377,0.0
qwen3-14b,text_only,distance_warp,463,322,141,129,4,137,193,0.9699,0.4006,0.9716,0.567,0.5745,0.0284,0.5279,0.0,0.0,0.0
qwen3-14b,text_only,info_drop,487,439,48,235,1,47,204,0.9958,0.5353,0.9792,0.6963,0.5791,0.0208,0.6048,0.0,0.0,0.0
qwen3-14b,text_only,phantom_inject,13,13,0,0,0,0,13,,0.0,,,0.0,,0.3462,1.0,1.0,0.0
qwen3-14b,text_only,position_jitter,452,397,55,226,3,52,171,0.9869,0.5693,0.9455,0.7221,0.615,0.0545,0.6163,0.0,0.0,0.0
qwen3-14b,text_only,state_flip,2254,1646,608,1245,316,292,401,0.7976,0.7564,0.4803,0.7765,0.6819,0.5197,0.563,0.0169,0.0169,0.0
