model,track,room_type,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
llava1.6-7b,text_only,kitchen,2415,1980,435,1797,239,196,183,0.8826,0.9076,0.4506,0.8949,0.8253,0.5494,0.3084,0.0054,0.0054,0.0
llava1.6-7b,text_only,living_room,1270,825,445,420,102,343,405,0.8046,0.5091,0.7708,0.6236,0.6008,0.2292,0.1119,0.0,0.0,0.0
mistral-7b,text_only,bathroom,1355,905,450,605,41,409,300,0.9365,0.6685,0.9089,0.7801,0.7483,0.0911,0.5862,0.0303,0.0303,0.0007
mistral-7b,text_only,bedroom,1195,745,450,274,6,444,471,0.9786,0.3678,0.9867,0.5347,0.6008,0.0133,0.4756,0.0268,0.0251,0.0
mistral-7b,text_only,kitchen,2415,1980,435,1531,106,329,449,0.9352,0.7732,0.7563,0.8465,0.7702,0.2437,0.4746,0.0083,0.0083,0.0
mistral-7b,text_only,living_room,1270,825,445,136,12,433,689,0.9189,0.1648,0.973,0.2795,0.448,0.027,0.283,0.0307,0.0291,0.0008
mistral-nemo-12b,text_only,bathroom,1355,905,450,899,350,100,6,0.7198,0.9934,0.2222,0.8348,0.7373,0.7778,0.7352,0.0007,0.0007,0.0
mistral-nemo-12b,text_only,bedroom,1195,745,450,681,164,286,64,0.8059,0.9141,0.6356,0.8566,0.8092,0.3644,0.6685,0.0025,0.0025,0.0
mistral-nemo-12b,text_only,kitchen,2415,1980,435,1967,383,52,13,0.837,0.9934,0.1195,0.9085,0.836,0.8805,0.6056,0.0054,0.0054,0.0
mistral-nemo-12b,text_only,living_room,1270,825,445,584,243,202,241,0.7062,0.7079,0.4539,0.707,0.6189,0.5461,0.338,0.0016,0.0016,0.0
qwen2.5-14b,text_only,bathroom,1355,905,450,870,183,267,35,0.8262,0.9613,0.5933,0.8886,0.8391,0.4067,0.7344,0.0015,0.0015,0.0
qwen2.5-14b,text_only,bedroom,1195,745,450,528,109,341,217,0.8289,0.7087,0.7578,0.7641,0.7272,0.2422,0.5038,0.0017,0.0017,0.0
qwen2.5-14b,text_only,kitchen,2415,1980,435,1493,142,293,487,0.9131,0.754,0.6736,0.826,0.7395,0.3264,0.5624,0.007,0.007,0.0
qwen2.5-14b,text_only,living_room,1270,825,445,280,85,360,545,0.7671,0.3394,0.809,0.4706,0.5039,0.191,0.3295,0.0016,0.0016,0.0
qwen2.5-7b,text_only,bathroom,1355,905,450,886,231,219,19,0.7932,0.979,0.4867,0.8764,0.8155,0.5133,0.675,0.0007,0.0007,0.0
qwen2.5-7b,text_only,bedroom,1195,745,450,541,81,369,204,0.8698,0.7262,0.82,0.7915,0.7615,0.18,0.464,0.0008,0.0008,0.0
qwen2.5-7b,text_only,kitchen,2415,1980,435,1703,184,251,277,0.9025,0.8601,0.577,0.8808,0.8091,0.423,0.5338,0.0,0.0,0.0
qwen2.5-7b,text_only,living_room,1270,825,445,458,123,322,367,0.7883,0.5552,0.7236,0.6515,0.6142,0.2764,0.2794,0.0024,0.0024,0.0
qwen2.5-vl-7b,image_only,bathroom,1355,905,450,335,10,440,570,0.971,0.3702,0.9778,0.536,0.572,0.0222,0.4696,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,bedroom,1195,745,450,285,0,450,460,1.0,0.3826,1.0,0.5535,0.6151,0.0,0.623,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,kitchen,2415,1980,435,515,5,430,1465,0.9904,0.2601,0.9885,0.412,0.3913,0.0115,0.4764,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,living_room,1270,825,445,80,5,440,745,0.9412,0.097,0.9888,0.1759,0.4094,0.0112,0.5192,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,bathroom,1355,905,450,789,130,320,116,0.8585,0.8718,0.7111,0.8651,0.8185,0.2889,0.7059,0.0059,0.0059,0.0
qwen2.5-vl-7b,text_and_image,bedroom,1195,745,450,581,114,336,164,0.836,0.7799,0.7467,0.807,0.7674,0.2533,0.613,0.0126,0.0126,0.0
qwen2.5-vl-7b,text_and_image,kitchen,2415,1980,435,1599,142,293,381,0.9184,0.8076,0.6736,0.8594,0.7834,0.3264,0.584,0.0087,0.0083,0.0
qwen2.5-vl-7b,text_and_image,living_room,1270,825,445,403,73,372,422,0.8466,0.4885,0.836,0.6195,0.6102,0.164,0.4782,0.0197,0.0197,0.0
qwen2.5-vl-7b,text_only,bathroom,1355,905,450,887,321,129,18,0.7343,0.9801,0.2867,0.8396,0.7498,0.7133,0.7099,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,bedroom,1195,745,450,692,176,274,53,0.7972,0.9289,0.6089,0.858,0.8084,0.3911,0.4904,0.0109,0.01,0.0
qwen2.5-vl-7b,text_only,kitchen,2415,1980,435,1828,292,143,152,0.8623,0.9232,0.3287,0.8917,0.8161,0.6713,0.58,0.0062,0.0062,0.0
qwen2.5-vl-7b,text_only,living_room,1270,825,445,687,208,237,138,0.7676,0.8327,0.5326,0.7988,0.7276,0.4674,0.418,0.015,0.015,0.0
qwen2vl-7b,image_only,bathroom,1359,909,450,889,345,105,20,0.7204,0.978,0.2333,0.8297,0.7314,0.7667,0.5004,0.0442,0.0442,0.0
qwen2vl-7b,image_only,bedroom,1195,745,450,690,355,95,55,0.6603,0.9262,0.2111,0.771,0.6569,0.7889,0.5649,0.0,0.0,0.0
qwen2vl-7b,image_only,kitchen,2415,1980,435,1935,400,35,45,0.8287,0.9773,0.0805,0.8969,0.8157,0.9195,0.5585,0.0,0.0,0.0
qwen2vl-7b,image_only,living_room,1270,825,445,650,320,125,175,0.6701,0.7879,0.2809,0.7242,0.6102,0.7191,0.4202,0.0079,0.0079,0.0
qwen2vl-7b,text_and_image,bathroom,1359,909,450,909,433,17,0,0.6773,1.0,0.0378,0.8076,0.6814,0.9622,0.7072,0.0103,0.0103,0.0
qwen2vl-7b,text_and_image,bedroom,1195,745,450,740,378,72,5,0.6619,0.9933,0.16,0.7944,0.6795,0.84,0.6222,0.0159,0.0159,0.0
qwen2vl-7b,text_and_image,kitchen,2415,1980,435,1973,418,17,7,0.8252,0.9965,0.0391,0.9028,0.824,0.9609,0.5849,0.0112,0.0112,0.0
qwen2vl-7b,text_and_image,living_room,1270,825,445,782,380,65,43,0.673,0.9479,0.1461,0.7871,0.6669,0.8539,0.4606,0.0157,0.0157,0.0
qwen2vl-7b,text_only,bathroom,1359,909,450,905,434,16,4,0.6759,0.9956,0.0356,0.8052,0.6777,0.9644,0.6555,0.0177,0.0177,0.0
qwen2vl-7b,text_only,bedroom,1195,745,450,706,240,210,39,0.7463,0.9477,0.4667,0.835,0.7665,0.5333,0.5298,0.0167,0.0167,0.0
qwen2vl-7b,text_only,kitchen,2415,1980,435,1949,411,24,31,0.8258,0.9843,0.0552,0.8981,0.817,0.9448,0.5476,0.0075,0.0075,0.0
qwen2vl-7b,text_only,living_room,1270,825,445,713,232,213,112,0.7545,0.8642,0.4787,0.8056,0.7291,0.5213,0.5319,0.0181,0.0181,0.0
qwen3-14b,text_only,bathroom,1355,905,450,761,116,334,144,0.8677,0.8409,0.7422,0.8541,0.8081,0.2578,0.7057,0.003,0.003,0.0
qwen3-14b,text_only,bedroom,1195,745,450,493,79,371,252,0.8619,0.6617,0.8244,0.7486,0.723,0.1756,0.6096,0.0117,0.0117,0.0
qwen3-14b,text_only,kitchen,2415,1980,435,1101,73,362,879,0.9378,0.5561,0.8322,0.6982,0.6058,0.1678,0.5455,0.0083,0.0083,0.0
qwen3-14b,text_only,living_room,1270,825,445,259,81,364,566,0.7618,0.3139,0.818,0.4446,0.4906,0.182,0.3972,0.0102,0.0102,0.0
