model,track,room_type,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
falcon-7b,text_only,bathroom,1355,905,450,389,137,313,516,0.7395,0.4298,0.6956,0.5436,0.5181,0.3044,0.1101,0.0022,0.0022,0.003
falcon-7b,text_only,bedroom,1195,745,450,339,200,250,406,0.6289,0.455,0.5556,0.528,0.4929,0.4444,0.0671,0.0,0.0,0.0561
falcon-7b,text_only,kitchen,2415,1980,435,1410,244,191,570,0.8525,0.7121,0.4391,0.776,0.6629,0.5609,0.1954,0.0025,0.0025,0.0447
falcon-7b,text_only,living_room,1270,825,445,431,205,240,394,0.6777,0.5224,0.5393,0.59,0.5283,0.4607,0.0519,0.0008,0.0008,0.0055
llama3-chatqa-8b,text_only,bathroom,1355,905,450,244,50,400,661,0.8299,0.2696,0.8889,0.407,0.4753,0.1111,0.1295,0.0103,0.0096,0.0
llama3-chatqa-8b,text_only,bedroom,1195,745,450,300,64,386,445,0.8242,0.4027,0.8578,0.541,0.5741,0.1422,0.1161,0.0251,0.0234,0.0
llama3-chatqa-8b,text_only,kitchen,2415,1980,435,589,89,346,1391,0.8687,0.2975,0.7954,0.4432,0.3872,0.2046,0.1366,0.0145,0.0133,0.0
llama3-chatqa-8b,text_only,living_room,1270,825,445,245,113,332,580,0.6844,0.297,0.7461,0.4142,0.4543,0.2539,0.0452,0.0126,0.0126,0.0
llama3.2-vision-11b,image_only,bathroom,1355,905,450,900,410,40,5,0.687,0.9945,0.0889,0.8126,0.6937,0.9111,0.4245,0.0,0.0,0.0
llama3.2-vision-11b,image_only,bedroom,1195,745,450,610,380,70,135,0.6162,0.8188,0.1556,0.7032,0.569,0.8444,0.4172,0.0,0.0,0.0
llama3.2-vision-11b,image_only,kitchen,2415,1980,435,1940,425,10,40,0.8203,0.9798,0.023,0.893,0.8075,0.977,0.4697,0.0,0.0,0.0
llama3.2-vision-11b,image_only,living_room,1270,825,445,755,390,55,70,0.6594,0.9152,0.1236,0.7665,0.6378,0.8764,0.3071,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,bathroom,1355,905,450,813,347,103,92,0.7009,0.8983,0.2289,0.7874,0.676,0.7711,0.5346,0.0376,0.0376,0.0015
llama3.2-vision-11b,text_and_image,bedroom,1195,745,450,639,331,119,106,0.6588,0.8577,0.2644,0.7452,0.6343,0.7356,0.4906,0.0243,0.0234,0.0
llama3.2-vision-11b,text_and_image,kitchen,2415,1980,435,1803,362,73,177,0.8328,0.9106,0.1678,0.87,0.7768,0.8322,0.4752,0.0161,0.0161,0.0
llama3.2-vision-11b,text_and_image,living_room,1270,825,445,710,367,78,115,0.6592,0.8606,0.1753,0.7466,0.6205,0.8247,0.299,0.048,0.0472,0.0
llama3.2-vision-11b,text_only,bathroom,1355,905,450,905,450,0,0,0.6679,1.0,0.0,0.8009,0.6679,1.0,0.6969,0.003,0.003,0.0
llama3.2-vision-11b,text_only,bedroom,1195,745,450,745,434,16,0,0.6319,1.0,0.0356,0.7744,0.6368,0.9644,0.6208,0.0025,0.0025,0.0
llama3.2-vision-11b,text_only,kitchen,2415,1980,435,1980,435,0,0,0.8199,1.0,0.0,0.901,0.8199,1.0,0.5637,0.0008,0.0008,0.0
llama3.2-vision-11b,text_only,living_room,1270,825,445,825,434,11,0,0.6553,1.0,0.0247,0.7918,0.6583,0.9753,0.3859,0.0047,0.0047,0.0
llava1.6-13b,image_only,bathroom,1355,905,450,265,5,445,640,0.9815,0.2928,0.9889,0.451,0.524,0.0111,0.5331,0.0,0.0,0.0
llava1.6-13b,image_only,bedroom,1195,745,450,260,25,425,485,0.9123,0.349,0.9444,0.5049,0.5732,0.0556,0.7237,0.0042,0.0042,0.0
llava1.6-13b,image_only,kitchen,2415,1980,435,275,10,425,1705,0.9649,0.1389,0.977,0.2428,0.2899,0.023,0.5897,0.0,0.0,0.0
llava1.6-13b,image_only,living_room,1270,825,445,55,5,440,770,0.9167,0.0667,0.9888,0.1244,0.3898,0.0112,0.6061,0.0,0.0,0.0
llava1.6-13b,text_and_image,bathroom,1355,905,450,801,312,138,104,0.7197,0.8851,0.3067,0.7939,0.693,0.6933,0.6156,0.0,0.0,0.0
llava1.6-13b,text_and_image,bedroom,1195,745,450,736,421,29,9,0.6361,0.9879,0.0644,0.7739,0.6402,0.9356,0.6295,0.005,0.0025,0.0
llava1.6-13b,text_and_image,kitchen,2415,1980,435,1930,381,54,50,0.8351,0.9747,0.1241,0.8995,0.8215,0.8759,0.5804,0.0054,0.0054,0.0
llava1.6-13b,text_and_image,living_room,1270,825,445,825,445,0,0,0.6496,1.0,0.0,0.7876,0.6496,1.0,0.536,0.0,0.0,0.0
llava1.6-13b,text_only,bathroom,1355,905,450,903,391,59,2,0.6978,0.9978,0.1311,0.8213,0.71,0.8689,0.5352,0.0,0.0,0.0
llava1.6-13b,text_only,bedroom,1195,745,450,745,450,0,0,0.6234,1.0,0.0,0.768,0.6234,1.0,0.54,0.0,0.0,0.0
llava1.6-13b,text_only,kitchen,2415,1980,435,1926,435,0,54,0.8158,0.9727,0.0,0.8874,0.7975,1.0,0.3946,0.0054,0.0054,0.0
llava1.6-13b,text_only,living_room,1270,825,445,825,445,0,0,0.6496,1.0,0.0,0.7876,0.6496,1.0,0.42,0.0,0.0,0.0
llava1.6-7b,image_only,bathroom,1355,905,450,85,5,445,820,0.9444,0.0939,0.9889,0.1708,0.3911,0.0111,0.6353,0.0,0.0,0.0
llava1.6-7b,image_only,bedroom,1195,745,450,120,5,445,625,0.96,0.1611,0.9889,0.2759,0.4728,0.0111,0.632,0.0,0.0,0.0
llava1.6-7b,image_only,kitchen,2415,1980,435,710,15,420,1270,0.9793,0.3586,0.9655,0.525,0.4679,0.0345,0.5189,0.0,0.0,0.0
llava1.6-7b,image_only,living_room,1270,825,445,20,0,445,805,1.0,0.0242,1.0,0.0473,0.3661,0.0,0.5737,0.0,0.0,0.0
llava1.6-7b,text_and_image,bathroom,1355,905,450,377,12,438,528,0.9692,0.4166,0.9733,0.5827,0.6015,0.0267,0.3982,0.0,0.0,0.0
llava1.6-7b,text_and_image,bedroom,1195,745,450,527,73,377,218,0.8783,0.7074,0.8378,0.7836,0.7565,0.1622,0.4508,0.0,0.0,0.0
llava1.6-7b,text_and_image,kitchen,2415,1980,435,1844,311,124,136,0.8557,0.9313,0.2851,0.8919,0.8149,0.7149,0.4656,0.0,0.0,0.0
llava1.6-7b,text_and_image,living_room,1270,825,445,717,271,174,108,0.7257,0.8691,0.391,0.791,0.7016,0.609,0.3343,0.0,0.0,0.0
llava1.6-7b,text_only,bathroom,1355,905,450,738,57,393,167,0.9283,0.8155,0.8733,0.8683,0.8347,0.1267,0.4254,0.0,0.0,0.0
llava1.6-7b,text_only,bedroom,1195,745,450,496,56,394,249,0.8986,0.6658,0.8756,0.7649,0.7448,0.1244,0.3264,0.0,0.0,0.0
