model,track,gt_severity,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
falcon-7b,text_only,critical,365,365,0,250,0,0,115,1.0,0.6849,,0.813,0.6849,,0.2429,0.011,0.011,0.1425
falcon-7b,text_only,high,1975,1975,0,1080,0,0,895,1.0,0.5468,,0.707,0.5468,,0.132,0.001,0.001,0.0446
falcon-7b,text_only,low,750,750,0,529,0,0,221,1.0,0.7053,,0.8272,0.7053,,0.0313,0.0,0.0,0.0053
falcon-7b,text_only,medium,1365,1365,0,710,0,0,655,1.0,0.5201,,0.6843,0.5201,,0.1513,0.0022,0.0022,0.0044
llama3-chatqa-8b,text_only,critical,365,365,0,198,0,0,167,1.0,0.5425,,0.7034,0.5425,,0.3215,0.0219,0.0192,0.0
llama3-chatqa-8b,text_only,high,1975,1975,0,746,0,0,1229,1.0,0.3777,,0.5483,0.3777,,0.1608,0.0177,0.0162,0.0
llama3-chatqa-8b,text_only,low,750,750,0,201,0,0,549,1.0,0.268,,0.4227,0.268,,0.0107,0.0133,0.0133,0.0
llama3-chatqa-8b,text_only,medium,1365,1365,0,233,0,0,1132,1.0,0.1707,,0.2916,0.1707,,0.0502,0.0154,0.0147,0.0
llama3.2-vision-11b,image_only,critical,365,365,0,365,0,0,0,1.0,1.0,,1.0,1.0,,0.5617,0.0,0.0,0.0
llama3.2-vision-11b,image_only,high,1975,1975,0,1865,0,0,110,1.0,0.9443,,0.9714,0.9443,,0.465,0.0,0.0,0.0
llama3.2-vision-11b,image_only,low,750,750,0,715,0,0,35,1.0,0.9533,,0.9761,0.9533,,0.2133,0.0,0.0,0.0
llama3.2-vision-11b,image_only,medium,1365,1365,0,1260,0,0,105,1.0,0.9231,,0.96,0.9231,,0.4359,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,critical,365,365,0,358,0,0,7,1.0,0.9808,,0.9903,0.9808,,0.6283,0.0164,0.0164,0.0
llama3.2-vision-11b,text_and_image,high,1975,1975,0,1754,0,0,221,1.0,0.8881,,0.9407,0.8881,,0.5273,0.0233,0.0233,0.0
llama3.2-vision-11b,text_and_image,low,750,750,0,661,0,0,89,1.0,0.8813,,0.9369,0.8813,,0.1273,0.0227,0.0227,0.0
llama3.2-vision-11b,text_and_image,medium,1365,1365,0,1192,0,0,173,1.0,0.8733,,0.9324,0.8733,,0.4912,0.0249,0.0242,0.0
llama3.2-vision-11b,text_only,critical,365,365,0,365,0,0,0,1.0,1.0,,1.0,1.0,,0.6585,0.0,0.0,0.0
llama3.2-vision-11b,text_only,high,1975,1975,0,1975,0,0,0,1.0,1.0,,1.0,1.0,,0.6751,0.0015,0.0015,0.0
llama3.2-vision-11b,text_only,low,750,750,0,750,0,0,0,1.0,1.0,,1.0,1.0,,0.448,0.0,0.0,0.0
llama3.2-vision-11b,text_only,medium,1365,1365,0,1365,0,0,0,1.0,1.0,,1.0,1.0,,0.4527,0.0022,0.0022,0.0
llava1.6-13b,image_only,critical,365,365,0,55,0,0,310,1.0,0.1507,,0.2619,0.1507,,0.6895,0.0,0.0,0.0
