model,track,gt_severity,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
llava1.6-13b,image_only,high,1975,1975,0,520,0,0,1455,1.0,0.2633,,0.4168,0.2633,,0.7177,0.0025,0.0025,0.0
llava1.6-13b,image_only,low,750,750,0,120,0,0,630,1.0,0.16,,0.2759,0.16,,0.2,0.0,0.0,0.0
llava1.6-13b,image_only,medium,1365,1365,0,160,0,0,1205,1.0,0.1172,,0.2098,0.1172,,0.6374,0.0,0.0,0.0
llava1.6-13b,text_and_image,critical,365,365,0,365,0,0,0,1.0,1.0,,1.0,1.0,,0.7087,0.0055,0.0055,0.0
llava1.6-13b,text_and_image,high,1975,1975,0,1875,0,0,100,1.0,0.9494,,0.974,0.9494,,0.6452,0.0051,0.0035,0.0
llava1.6-13b,text_and_image,low,750,750,0,728,0,0,22,1.0,0.9707,,0.9851,0.9707,,0.42,0.0053,0.0053,0.0
llava1.6-13b,text_and_image,medium,1365,1365,0,1324,0,0,41,1.0,0.97,,0.9848,0.97,,0.5637,0.0022,0.0022,0.0
llava1.6-13b,text_only,critical,365,365,0,357,0,0,8,1.0,0.9781,,0.9889,0.9781,,0.5836,0.0055,0.0055,0.0
llava1.6-13b,text_only,high,1975,1975,0,1959,0,0,16,1.0,0.9919,,0.9959,0.9919,,0.503,0.002,0.002,0.0
llava1.6-13b,text_only,low,750,750,0,732,0,0,18,1.0,0.976,,0.9879,0.976,,0.2793,0.0053,0.0053,0.0
llava1.6-13b,text_only,medium,1365,1365,0,1351,0,0,14,1.0,0.9897,,0.9948,0.9897,,0.4385,0.0022,0.0022,0.0
llava1.6-7b,image_only,critical,365,365,0,210,0,0,155,1.0,0.5753,,0.7304,0.5753,,0.6027,0.0,0.0,0.0
llava1.6-7b,image_only,high,1975,1975,0,390,0,0,1585,1.0,0.1975,,0.3299,0.1975,,0.6844,0.0,0.0,0.0
llava1.6-7b,image_only,low,750,750,0,165,0,0,585,1.0,0.22,,0.3607,0.22,,0.23,0.0,0.0,0.0
llava1.6-7b,image_only,medium,1365,1365,0,170,0,0,1195,1.0,0.1245,,0.2214,0.1245,,0.5879,0.0,0.0,0.0
llava1.6-7b,text_and_image,critical,365,365,0,354,0,0,11,1.0,0.9699,,0.9847,0.9699,,0.59,0.0,0.0,0.0
llava1.6-7b,text_and_image,high,1975,1975,0,1487,0,0,488,1.0,0.7529,,0.859,0.7529,,0.5187,0.0,0.0,0.0
llava1.6-7b,text_and_image,low,750,750,0,709,0,0,41,1.0,0.9453,,0.9719,0.9453,,0.19,0.0,0.0,0.0
llava1.6-7b,text_and_image,medium,1365,1365,0,915,0,0,450,1.0,0.6703,,0.8026,0.6703,,0.3747,0.0,0.0,0.0
llava1.6-7b,text_only,critical,365,365,0,354,0,0,11,1.0,0.9699,,0.9847,0.9699,,0.5735,0.0055,0.0055,0.0
llava1.6-7b,text_only,high,1975,1975,0,1629,0,0,346,1.0,0.8248,,0.904,0.8248,,0.426,0.002,0.002,0.0
llava1.6-7b,text_only,low,750,750,0,615,0,0,135,1.0,0.82,,0.9011,0.82,,0.0533,0.0053,0.0053,0.0
llava1.6-7b,text_only,medium,1365,1365,0,853,0,0,512,1.0,0.6249,,0.7692,0.6249,,0.1762,0.0022,0.0022,0.0
mistral-7b,text_only,critical,365,365,0,362,0,0,3,1.0,0.9918,,0.9959,0.9918,,0.6069,0.0,0.0,0.0
mistral-7b,text_only,high,1975,1975,0,1330,0,0,645,1.0,0.6734,,0.8048,0.6734,,0.5742,0.0111,0.0101,0.0
mistral-7b,text_only,low,750,750,0,391,0,0,359,1.0,0.5213,,0.6853,0.5213,,0.202,0.0053,0.0053,0.0
mistral-7b,text_only,medium,1365,1365,0,463,0,0,902,1.0,0.3392,,0.5066,0.3392,,0.4037,0.0161,0.0147,0.0015
mistral-nemo-12b,text_only,critical,365,365,0,365,0,0,0,1.0,1.0,,1.0,1.0,,0.7224,0.0055,0.0055,0.0
mistral-nemo-12b,text_only,high,1975,1975,0,1887,0,0,88,1.0,0.9554,,0.9772,0.9554,,0.657,0.0041,0.0041,0.0
mistral-nemo-12b,text_only,low,750,750,0,645,0,0,105,1.0,0.86,,0.9247,0.86,,0.3933,0.0053,0.0053,0.0
mistral-nemo-12b,text_only,medium,1365,1365,0,1234,0,0,131,1.0,0.904,,0.9496,0.904,,0.5751,0.0022,0.0022,0.0
qwen2.5-14b,text_only,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.674,0.0055,0.0055,0.0
qwen2.5-14b,text_only,high,1975,1975,0,1642,0,0,333,1.0,0.8314,,0.9079,0.8314,,0.6399,0.002,0.002,0.0
qwen2.5-14b,text_only,low,750,750,0,353,0,0,397,1.0,0.4707,,0.6401,0.4707,,0.3087,0.0053,0.0053,0.0
qwen2.5-14b,text_only,medium,1365,1365,0,821,0,0,544,1.0,0.6015,,0.7512,0.6015,,0.5011,0.0029,0.0029,0.0
qwen2.5-7b,text_only,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.6649,0.0,0.0,0.0
qwen2.5-7b,text_only,high,1975,1975,0,1726,0,0,249,1.0,0.8739,,0.9327,0.8739,,0.61,0.001,0.001,0.0
qwen2.5-7b,text_only,low,750,750,0,546,0,0,204,1.0,0.728,,0.8426,0.728,,0.3393,0.0,0.0,0.0
qwen2.5-7b,text_only,medium,1365,1365,0,961,0,0,404,1.0,0.704,,0.8263,0.704,,0.3971,0.0007,0.0007,0.0
qwen2.5-vl-7b,image_only,critical,365,365,0,220,0,0,145,1.0,0.6027,,0.7521,0.6027,,0.5845,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,high,1975,1975,0,735,0,0,1240,1.0,0.3722,,0.5425,0.3722,,0.6051,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,low,750,750,0,80,0,0,670,1.0,0.1067,,0.1928,0.1067,,0.2367,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,medium,1365,1365,0,180,0,0,1185,1.0,0.1319,,0.2331,0.1319,,0.4945,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.706,0.011,0.0082,0.0
qwen2.5-vl-7b,text_and_image,high,1975,1975,0,1637,0,0,338,1.0,0.8289,,0.9064,0.8289,,0.6814,0.0066,0.0066,0.0
qwen2.5-vl-7b,text_and_image,low,750,750,0,511,0,0,239,1.0,0.6813,,0.8104,0.6813,,0.3113,0.008,0.008,0.0
qwen2.5-vl-7b,text_and_image,medium,1365,1365,0,869,0,0,496,1.0,0.6366,,0.778,0.6366,,0.593,0.0088,0.0088,0.0
qwen2.5-vl-7b,text_only,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.6996,0.0055,0.0055,0.0
qwen2.5-vl-7b,text_only,high,1975,1975,0,1809,0,0,166,1.0,0.9159,,0.9561,0.9159,,0.6226,0.0066,0.0066,0.0
qwen2.5-vl-7b,text_only,low,750,750,0,692,0,0,58,1.0,0.9227,,0.9598,0.9227,,0.476,0.008,0.008,0.0
qwen2.5-vl-7b,text_only,medium,1365,1365,0,1238,0,0,127,1.0,0.907,,0.9512,0.907,,0.4828,0.0059,0.0051,0.0
qwen2vl-7b,image_only,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.5662,0.0,0.0,0.0
qwen2vl-7b,image_only,high,1979,1979,0,1929,0,0,50,1.0,0.9747,,0.9872,0.9747,,0.6147,0.0303,0.0303,0.0
qwen2vl-7b,image_only,low,750,750,0,680,0,0,70,1.0,0.9067,,0.9511,0.9067,,0.3467,0.0,0.0,0.0
qwen2vl-7b,image_only,medium,1365,1365,0,1200,0,0,165,1.0,0.8791,,0.9357,0.8791,,0.4725,0.0,0.0,0.0
qwen2vl-7b,text_and_image,critical,365,365,0,364,0,0,1,1.0,0.9973,,0.9986,0.9973,,0.7046,0.0082,0.0082,0.0
qwen2vl-7b,text_and_image,high,1979,1979,0,1960,0,0,19,1.0,0.9904,,0.9952,0.9904,,0.6994,0.0101,0.0101,0.0
qwen2vl-7b,text_and_image,low,750,750,0,743,0,0,7,1.0,0.9907,,0.9953,0.9907,,0.304,0.0173,0.0173,0.0
qwen2vl-7b,text_and_image,medium,1365,1365,0,1337,0,0,28,1.0,0.9795,,0.9896,0.9795,,0.5678,0.0081,0.0081,0.0
qwen2vl-7b,text_only,critical,365,365,0,363,0,0,2,1.0,0.9945,,0.9972,0.9945,,0.7142,0.0082,0.0082,0.0
qwen2vl-7b,text_only,high,1979,1979,0,1918,0,0,61,1.0,0.9692,,0.9844,0.9692,,0.6738,0.0126,0.0126,0.0
qwen2vl-7b,text_only,low,750,750,0,724,0,0,26,1.0,0.9653,,0.9823,0.9653,,0.3693,0.0107,0.0107,0.0
qwen2vl-7b,text_only,medium,1365,1365,0,1268,0,0,97,1.0,0.9289,,0.9631,0.9289,,0.4707,0.0117,0.0117,0.0
qwen3-14b,text_only,critical,365,365,0,355,0,0,10,1.0,0.9726,,0.9861,0.9726,,0.674,0.0055,0.0055,0.0
qwen3-14b,text_only,high,1975,1975,0,1388,0,0,587,1.0,0.7028,,0.8255,0.7028,,0.6899,0.0046,0.0046,0.0
qwen3-14b,text_only,low,750,750,0,256,0,0,494,1.0,0.3413,,0.5089,0.3413,,0.2493,0.008,0.008,0.0
qwen3-14b,text_only,medium,1365,1365,0,615,0,0,750,1.0,0.4505,,0.6212,0.4505,,0.5165,0.0066,0.0066,0.0
