model,track,scenario,noise_level,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
llama3-chatqa-8b,text_only,noisy,0.5,891,891,0,147,0,0,744,1.0,0.165,,0.2833,0.165,,0.0615,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy,0.7,891,891,0,633,0,0,258,1.0,0.7104,,0.8307,0.7104,,0.2394,0.0831,0.0774,0.0
llama3-chatqa-8b,text_only,noisy_safe,0.1,356,0,356,0,14,342,0,0.0,,0.9607,,0.9607,0.0393,,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy_safe,0.3,356,0,356,0,61,295,0,0.0,,0.8287,,0.8287,0.1713,,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy_safe,0.5,356,0,356,0,14,342,0,0.0,,0.9607,,0.9607,0.0393,,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy_safe,0.7,356,0,356,0,213,143,0,0.0,,0.4017,,0.4017,0.5983,,0.059,0.0562,0.0
llama3.2-vision-11b,image_only,baseline,0.0,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,baseline_safe,0.0,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy,0.1,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy,0.3,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy,0.5,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy,0.7,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy_safe,0.1,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy_safe,0.3,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy_safe,0.5,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy_safe,0.7,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,baseline,0.0,891,891,0,791,0,0,100,1.0,0.8878,,0.9406,0.8878,,0.466,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,baseline_safe,0.0,356,0,356,0,271,85,0,0.0,,0.2388,,0.2388,0.7612,,0.0,0.0,0.0028
llama3.2-vision-11b,text_and_image,noisy,0.1,891,891,0,789,0,0,102,1.0,0.8855,,0.9393,0.8855,,0.4579,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,noisy,0.3,891,891,0,803,0,0,88,1.0,0.9012,,0.948,0.9012,,0.4598,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,noisy,0.5,891,891,0,785,0,0,106,1.0,0.881,,0.9367,0.881,,0.463,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,noisy,0.7,891,891,0,797,0,0,94,1.0,0.8945,,0.9443,0.8945,,0.4394,0.1156,0.1145,0.0
llama3.2-vision-11b,text_and_image,noisy_safe,0.1,356,0,356,0,277,79,0,0.0,,0.2219,,0.2219,0.7781,,0.0,0.0,0.0028
llama3.2-vision-11b,text_and_image,noisy_safe,0.3,356,0,356,0,291,65,0,0.0,,0.1826,,0.1826,0.8174,,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,noisy_safe,0.5,356,0,356,0,278,78,0,0.0,,0.2191,,0.2191,0.7809,,0.0028,0.0028,0.0
llama3.2-vision-11b,text_and_image,noisy_safe,0.7,356,0,356,0,290,66,0,0.0,,0.1854,,0.1854,0.8146,,0.2135,0.2107,0.0
llama3.2-vision-11b,text_only,baseline,0.0,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5954,0.0,0.0,0.0
llama3.2-vision-11b,text_only,baseline_safe,0.0,356,0,356,0,350,6,0,0.0,,0.0169,,0.0169,0.9831,,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy,0.1,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5761,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy,0.3,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5552,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy,0.5,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5855,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy,0.7,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5247,0.0067,0.0067,0.0
llama3.2-vision-11b,text_only,noisy_safe,0.1,356,0,356,0,349,7,0,0.0,,0.0197,,0.0197,0.9803,,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy_safe,0.3,356,0,356,0,349,7,0,0.0,,0.0197,,0.0197,0.9803,,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy_safe,0.5,356,0,356,0,349,7,0,0.0,,0.0197,,0.0197,0.9803,,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy_safe,0.7,356,0,356,0,356,0,0,0.0,,0.0,,0.0,1.0,,0.0253,0.0253,0.0
llava1.6-13b,image_only,baseline,0.0,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,baseline_safe,0.0,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,image_only,noisy,0.1,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,noisy,0.3,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,noisy,0.5,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,noisy,0.7,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,noisy_safe,0.1,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,image_only,noisy_safe,0.3,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,image_only,noisy_safe,0.5,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,image_only,noisy_safe,0.7,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,text_and_image,baseline,0.0,891,891,0,849,0,0,42,1.0,0.9529,,0.9759,0.9529,,0.593,0.0022,0.0011,0.0
llava1.6-13b,text_and_image,baseline_safe,0.0,356,0,356,0,299,57,0,0.0,,0.1601,,0.1601,0.8399,,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy,0.1,891,891,0,850,0,0,41,1.0,0.954,,0.9765,0.954,,0.5945,0.0022,0.0011,0.0
llava1.6-13b,text_and_image,noisy,0.3,891,891,0,870,0,0,21,1.0,0.9764,,0.9881,0.9764,,0.5896,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy,0.5,891,891,0,848,0,0,43,1.0,0.9517,,0.9753,0.9517,,0.598,0.0022,0.0011,0.0
llava1.6-13b,text_and_image,noisy,0.7,891,891,0,875,0,0,16,1.0,0.982,,0.9909,0.982,,0.5627,0.0146,0.0146,0.0
llava1.6-13b,text_and_image,noisy_safe,0.1,356,0,356,0,299,57,0,0.0,,0.1601,,0.1601,0.8399,,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy_safe,0.3,356,0,356,0,323,33,0,0.0,,0.0927,,0.0927,0.9073,,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy_safe,0.5,356,0,356,0,299,57,0,0.0,,0.1601,,0.1601,0.8399,,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy_safe,0.7,356,0,356,0,339,17,0,0.0,,0.0478,,0.0478,0.9522,,0.0,0.0,0.0
llava1.6-13b,text_only,baseline,0.0,891,891,0,877,0,0,14,1.0,0.9843,,0.9921,0.9843,,0.4738,0.0,0.0,0.0
llava1.6-13b,text_only,baseline_safe,0.0,356,0,356,0,339,17,0,0.0,,0.0478,,0.0478,0.9522,,0.0,0.0,0.0
llava1.6-13b,text_only,noisy,0.1,891,891,0,877,0,0,14,1.0,0.9843,,0.9921,0.9843,,0.4712,0.0,0.0,0.0
llava1.6-13b,text_only,noisy,0.3,891,891,0,878,0,0,13,1.0,0.9854,,0.9926,0.9854,,0.4441,0.0,0.0,0.0
llava1.6-13b,text_only,noisy,0.5,891,891,0,878,0,0,13,1.0,0.9854,,0.9926,0.9854,,0.4747,0.0,0.0,0.0
llava1.6-13b,text_only,noisy,0.7,891,891,0,889,0,0,2,1.0,0.9978,,0.9989,0.9978,,0.3971,0.0146,0.0146,0.0
llava1.6-13b,text_only,noisy_safe,0.1,356,0,356,0,339,17,0,0.0,,0.0478,,0.0478,0.9522,,0.0,0.0,0.0
llava1.6-13b,text_only,noisy_safe,0.3,356,0,356,0,349,7,0,0.0,,0.0197,,0.0197,0.9803,,0.0,0.0,0.0
llava1.6-13b,text_only,noisy_safe,0.5,356,0,356,0,339,17,0,0.0,,0.0478,,0.0478,0.9522,,0.0,0.0,0.0
llava1.6-13b,text_only,noisy_safe,0.7,356,0,356,0,355,1,0,0.0,,0.0028,,0.0028,0.9972,,0.0,0.0,0.0
llava1.6-7b,image_only,baseline,0.0,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,baseline_safe,0.0,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,image_only,noisy,0.1,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,noisy,0.3,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,noisy,0.5,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,noisy,0.7,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,noisy_safe,0.1,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,image_only,noisy_safe,0.3,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,image_only,noisy_safe,0.5,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,image_only,noisy_safe,0.7,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,text_and_image,baseline,0.0,891,891,0,663,0,0,228,1.0,0.7441,,0.8533,0.7441,,0.4233,0.0,0.0,0.0
llava1.6-7b,text_and_image,baseline_safe,0.0,356,0,356,0,113,243,0,0.0,,0.6826,,0.6826,0.3174,,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy,0.1,891,891,0,664,0,0,227,1.0,0.7452,,0.854,0.7452,,0.4141,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy,0.3,891,891,0,722,0,0,169,1.0,0.8103,,0.8952,0.8103,,0.454,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy,0.5,891,891,0,667,0,0,224,1.0,0.7486,,0.8562,0.7486,,0.4229,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy,0.7,891,891,0,749,0,0,142,1.0,0.8406,,0.9134,0.8406,,0.4112,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy_safe,0.1,356,0,356,0,112,244,0,0.0,,0.6854,,0.6854,0.3146,,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy_safe,0.3,356,0,356,0,130,226,0,0.0,,0.6348,,0.6348,0.3652,,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy_safe,0.5,356,0,356,0,114,242,0,0.0,,0.6798,,0.6798,0.3202,,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy_safe,0.7,356,0,356,0,198,158,0,0.0,,0.4438,,0.4438,0.5562,,0.0,0.0,0.0
llava1.6-7b,text_only,baseline,0.0,891,891,0,661,0,0,230,1.0,0.7419,,0.8518,0.7419,,0.2984,0.0,0.0,0.0
llava1.6-7b,text_only,baseline_safe,0.0,356,0,356,0,51,305,0,0.0,,0.8567,,0.8567,0.1433,,0.0,0.0,0.0
llava1.6-7b,text_only,noisy,0.1,891,891,0,648,0,0,243,1.0,0.7273,,0.8421,0.7273,,0.2909,0.0,0.0,0.0
llava1.6-7b,text_only,noisy,0.3,891,891,0,743,0,0,148,1.0,0.8339,,0.9094,0.8339,,0.3159,0.0,0.0,0.0
llava1.6-7b,text_only,noisy,0.5,891,891,0,652,0,0,239,1.0,0.7318,,0.8451,0.7318,,0.2866,0.0,0.0,0.0
llava1.6-7b,text_only,noisy,0.7,891,891,0,747,0,0,144,1.0,0.8384,,0.9121,0.8384,,0.3023,0.0146,0.0146,0.0
llava1.6-7b,text_only,noisy_safe,0.1,356,0,356,0,49,307,0,0.0,,0.8624,,0.8624,0.1376,,0.0,0.0,0.0
llava1.6-7b,text_only,noisy_safe,0.3,356,0,356,0,116,240,0,0.0,,0.6742,,0.6742,0.3258,,0.0,0.0,0.0
llava1.6-7b,text_only,noisy_safe,0.5,356,0,356,0,50,306,0,0.0,,0.8596,,0.8596,0.1404,,0.0,0.0,0.0
llava1.6-7b,text_only,noisy_safe,0.7,356,0,356,0,188,168,0,0.0,,0.4719,,0.4719,0.5281,,0.0,0.0,0.0
mistral-7b,text_only,baseline,0.0,891,891,0,494,0,0,397,1.0,0.5544,,0.7133,0.5544,,0.4676,0.0,0.0,0.0
mistral-7b,text_only,baseline_safe,0.0,356,0,356,0,16,340,0,0.0,,0.9551,,0.9551,0.0449,,0.0,0.0,0.0
mistral-7b,text_only,noisy,0.1,891,891,0,486,0,0,405,1.0,0.5455,,0.7059,0.5455,,0.4605,0.0,0.0,0.0
mistral-7b,text_only,noisy,0.3,891,891,0,516,0,0,375,1.0,0.5791,,0.7335,0.5791,,0.4777,0.0,0.0,0.0022
mistral-7b,text_only,noisy,0.5,891,891,0,496,0,0,395,1.0,0.5567,,0.7152,0.5567,,0.4686,0.0,0.0,0.0
mistral-7b,text_only,noisy,0.7,891,891,0,554,0,0,337,1.0,0.6218,,0.7668,0.6218,,0.4353,0.0539,0.0494,0.0
mistral-7b,text_only,noisy_safe,0.1,356,0,356,0,16,340,0,0.0,,0.9551,,0.9551,0.0449,,0.0,0.0,0.0
mistral-7b,text_only,noisy_safe,0.3,356,0,356,0,21,335,0,0.0,,0.941,,0.941,0.059,,0.0,0.0,0.0
mistral-7b,text_only,noisy_safe,0.5,356,0,356,0,18,338,0,0.0,,0.9494,,0.9494,0.0506,,0.0,0.0,0.0
mistral-7b,text_only,noisy_safe,0.7,356,0,356,0,94,262,0,0.0,,0.736,,0.736,0.264,,0.236,0.236,0.0
mistral-nemo-12b,text_only,baseline,0.0,891,891,0,801,0,0,90,1.0,0.899,,0.9468,0.899,,0.5904,0.0,0.0,0.0
mistral-nemo-12b,text_only,baseline_safe,0.0,356,0,356,0,176,180,0,0.0,,0.5056,,0.5056,0.4944,,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy,0.1,891,891,0,798,0,0,93,1.0,0.8956,,0.9449,0.8956,,0.5881,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy,0.3,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.6008,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy,0.5,891,891,0,803,0,0,88,1.0,0.9012,,0.948,0.9012,,0.593,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy,0.7,891,891,0,888,0,0,3,1.0,0.9966,,0.9983,0.9966,,0.592,0.0191,0.0191,0.0
mistral-nemo-12b,text_only,noisy_safe,0.1,356,0,356,0,177,179,0,0.0,,0.5028,,0.5028,0.4972,,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy_safe,0.3,356,0,356,0,250,106,0,0.0,,0.2978,,0.2978,0.7022,,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy_safe,0.5,356,0,356,0,183,173,0,0.0,,0.486,,0.486,0.514,,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy_safe,0.7,356,0,356,0,354,2,0,0.0,,0.0056,,0.0056,0.9944,,0.0056,0.0056,0.0
qwen2.5-14b,text_only,baseline,0.0,891,891,0,571,0,0,320,1.0,0.6409,,0.7812,0.6409,,0.5688,0.0,0.0,0.0
qwen2.5-14b,text_only,baseline_safe,0.0,356,0,356,0,37,319,0,0.0,,0.8961,,0.8961,0.1039,,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy,0.1,891,891,0,569,0,0,322,1.0,0.6386,,0.7794,0.6386,,0.5574,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy,0.3,891,891,0,665,0,0,226,1.0,0.7464,,0.8548,0.7464,,0.5397,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy,0.5,891,891,0,568,0,0,323,1.0,0.6375,,0.7786,0.6375,,0.5593,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy,0.7,891,891,0,798,0,0,93,1.0,0.8956,,0.9449,0.8956,,0.4968,0.0157,0.0157,0.0
qwen2.5-14b,text_only,noisy_safe,0.1,356,0,356,0,36,320,0,0.0,,0.8989,,0.8989,0.1011,,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy_safe,0.3,356,0,356,0,126,230,0,0.0,,0.6461,,0.6461,0.3539,,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy_safe,0.5,356,0,356,0,38,318,0,0.0,,0.8933,,0.8933,0.1067,,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy_safe,0.7,356,0,356,0,282,74,0,0.0,,0.2079,,0.2079,0.7921,,0.0253,0.0253,0.0
qwen2.5-7b,text_only,baseline,0.0,891,891,0,674,0,0,217,1.0,0.7565,,0.8614,0.7565,,0.4993,0.0,0.0,0.0
qwen2.5-7b,text_only,baseline_safe,0.0,356,0,356,0,62,294,0,0.0,,0.8258,,0.8258,0.1742,,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy,0.1,891,891,0,662,0,0,229,1.0,0.743,,0.8526,0.743,,0.4931,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy,0.3,891,891,0,746,0,0,145,1.0,0.8373,,0.9114,0.8373,,0.5153,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy,0.5,891,891,0,667,0,0,224,1.0,0.7486,,0.8562,0.7486,,0.4929,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy,0.7,891,891,0,839,0,0,52,1.0,0.9416,,0.9699,0.9416,,0.518,0.0034,0.0034,0.0
qwen2.5-7b,text_only,noisy_safe,0.1,356,0,356,0,64,292,0,0.0,,0.8202,,0.8202,0.1798,,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy_safe,0.3,356,0,356,0,144,212,0,0.0,,0.5955,,0.5955,0.4045,,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy_safe,0.5,356,0,356,0,64,292,0,0.0,,0.8202,,0.8202,0.1798,,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy_safe,0.7,356,0,356,0,285,71,0,0.0,,0.1994,,0.1994,0.8006,,0.0056,0.0056,0.0
qwen2.5-vl-7b,image_only,baseline,0.0,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,baseline_safe,0.0,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy,0.1,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy,0.3,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy,0.5,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy,0.7,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy_safe,0.1,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy_safe,0.3,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy_safe,0.5,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy_safe,0.7,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,baseline,0.0,891,891,0,608,0,0,283,1.0,0.6824,,0.8112,0.6824,,0.6063,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,baseline_safe,0.0,356,0,356,0,28,328,0,0.0,,0.9213,,0.9213,0.0787,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy,0.1,891,891,0,605,0,0,286,1.0,0.679,,0.8088,0.679,,0.6107,0.0022,0.0011,0.0
qwen2.5-vl-7b,text_and_image,noisy,0.3,891,891,0,727,0,0,164,1.0,0.8159,,0.8986,0.8159,,0.5872,0.0011,0.0011,0.0
qwen2.5-vl-7b,text_and_image,noisy,0.5,891,891,0,607,0,0,284,1.0,0.6813,,0.8104,0.6813,,0.6091,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy,0.7,891,891,0,825,0,0,66,1.0,0.9259,,0.9615,0.9259,,0.5569,0.0359,0.0359,0.0
qwen2.5-vl-7b,text_and_image,noisy_safe,0.1,356,0,356,0,32,324,0,0.0,,0.9101,,0.9101,0.0899,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy_safe,0.3,356,0,356,0,116,240,0,0.0,,0.6742,,0.6742,0.3258,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy_safe,0.5,356,0,356,0,31,325,0,0.0,,0.9129,,0.9129,0.0871,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy_safe,0.7,356,0,356,0,252,104,0,0.0,,0.2921,,0.2921,0.7079,,0.0955,0.0955,0.0
qwen2.5-vl-7b,text_only,baseline,0.0,891,891,0,794,0,0,97,1.0,0.8911,,0.9424,0.8911,,0.5778,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,baseline_safe,0.0,356,0,356,0,136,220,0,0.0,,0.618,,0.618,0.382,,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy,0.1,891,891,0,785,0,0,106,1.0,0.881,,0.9367,0.881,,0.5709,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy,0.3,891,891,0,848,0,0,43,1.0,0.9517,,0.9753,0.9517,,0.5589,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy,0.5,891,891,0,794,0,0,97,1.0,0.8911,,0.9424,0.8911,,0.5698,0.0034,0.0022,0.0
qwen2.5-vl-7b,text_only,noisy,0.7,891,891,0,873,0,0,18,1.0,0.9798,,0.9898,0.9798,,0.5296,0.0292,0.0292,0.0
qwen2.5-vl-7b,text_only,noisy_safe,0.1,356,0,356,0,135,221,0,0.0,,0.6208,,0.6208,0.3792,,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy_safe,0.3,356,0,356,0,245,111,0,0.0,,0.3118,,0.3118,0.6882,,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy_safe,0.5,356,0,356,0,134,222,0,0.0,,0.6236,,0.6236,0.3764,,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy_safe,0.7,356,0,356,0,347,9,0,0.0,,0.0253,,0.0253,0.9747,,0.0506,0.0506,0.0
qwen2vl-7b,image_only,baseline,0.0,891,891,0,832,0,0,59,1.0,0.9338,,0.9658,0.9338,,0.5217,0.0135,0.0135,0.0
qwen2vl-7b,image_only,baseline_safe,0.0,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,image_only,noisy,0.0,3,3,0,3,0,0,0,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.0
qwen2vl-7b,image_only,noisy,0.1,892,892,0,833,0,0,59,1.0,0.9339,,0.9658,0.9339,,0.5222,0.0135,0.0135,0.0
qwen2vl-7b,image_only,noisy,0.3,891,891,0,832,0,0,59,1.0,0.9338,,0.9658,0.9338,,0.5217,0.0135,0.0135,0.0
