model,track,scenario,noise_level,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
falcon-7b,text_only,baseline,0.0,891,891,0,495,0,0,396,1.0,0.5556,,0.7143,0.5556,,0.1214,0.0034,0.0034,0.0359
falcon-7b,text_only,baseline_safe,0.0,356,0,356,0,146,210,0,0.0,,0.5899,,0.5899,0.4101,,0.0,0.0,0.0225
falcon-7b,text_only,noisy,0.1,891,891,0,516,0,0,375,1.0,0.5791,,0.7335,0.5791,,0.1375,0.0022,0.0022,0.0269
falcon-7b,text_only,noisy,0.3,891,891,0,472,0,0,419,1.0,0.5297,,0.6926,0.5297,,0.1317,0.0,0.0,0.0426
falcon-7b,text_only,noisy,0.5,891,891,0,505,0,0,386,1.0,0.5668,,0.7235,0.5668,,0.1298,0.0011,0.0011,0.037
falcon-7b,text_only,noisy,0.7,891,891,0,581,0,0,310,1.0,0.6521,,0.7894,0.6521,,0.1298,0.0034,0.0034,0.0258
falcon-7b,text_only,noisy_safe,0.1,356,0,356,0,148,208,0,0.0,,0.5843,,0.5843,0.4157,,0.0,0.0,0.0197
falcon-7b,text_only,noisy_safe,0.3,356,0,356,0,138,218,0,0.0,,0.6124,,0.6124,0.3876,,0.0,0.0,0.0225
falcon-7b,text_only,noisy_safe,0.5,356,0,356,0,148,208,0,0.0,,0.5843,,0.5843,0.4157,,0.0,0.0,0.0197
falcon-7b,text_only,noisy_safe,0.7,356,0,356,0,206,150,0,0.0,,0.4213,,0.4213,0.5787,,0.0028,0.0028,0.0169
llama3-chatqa-8b,text_only,baseline,0.0,891,891,0,156,0,0,735,1.0,0.1751,,0.298,0.1751,,0.0657,0.0,0.0,0.0
llama3-chatqa-8b,text_only,baseline_safe,0.0,356,0,356,0,14,342,0,0.0,,0.9607,,0.9607,0.0393,,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy,0.1,891,891,0,159,0,0,732,1.0,0.1785,,0.3029,0.1785,,0.0662,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy,0.3,891,891,0,283,0,0,608,1.0,0.3176,,0.4821,0.3176,,0.1412,0.0,0.0,0.0
