model,condition,severity,n,recall
qwen2vl-7b,clean,critical,10,1.0
qwen2vl-7b,clean,high,16,1.0
qwen2vl-7b,clean,low,8,1.0
qwen2vl-7b,clean,medium,16,1.0
qwen2vl-7b,gaussian_sensor_0.3,critical,10,1.0
qwen2vl-7b,gaussian_sensor_0.3,high,16,1.0
qwen2vl-7b,gaussian_sensor_0.3,low,8,0.875
qwen2vl-7b,gaussian_sensor_0.3,medium,16,1.0
qwen2vl-7b,gaussian_sensor_0.7,critical,10,1.0
qwen2vl-7b,gaussian_sensor_0.7,high,16,1.0
qwen2vl-7b,gaussian_sensor_0.7,low,8,0.875
qwen2vl-7b,gaussian_sensor_0.7,medium,16,1.0
qwen2vl-7b,low_illumination_0.3,critical,10,1.0
qwen2vl-7b,low_illumination_0.3,high,16,1.0
qwen2vl-7b,low_illumination_0.3,low,8,1.0
qwen2vl-7b,low_illumination_0.3,medium,16,1.0
qwen2vl-7b,low_illumination_0.7,critical,10,1.0
qwen2vl-7b,low_illumination_0.7,high,16,1.0
qwen2vl-7b,low_illumination_0.7,low,8,1.0
qwen2vl-7b,low_illumination_0.7,medium,16,1.0
qwen2vl-7b,motion_blur_0.3,critical,10,1.0
qwen2vl-7b,motion_blur_0.3,high,16,1.0
qwen2vl-7b,motion_blur_0.3,low,8,1.0
qwen2vl-7b,motion_blur_0.3,medium,16,1.0
qwen2vl-7b,motion_blur_0.7,critical,10,1.0
qwen2vl-7b,motion_blur_0.7,high,16,1.0
qwen2vl-7b,motion_blur_0.7,low,8,1.0
qwen2vl-7b,motion_blur_0.7,medium,16,1.0
llama3.2-vision-11b,clean,critical,10,1.0
llama3.2-vision-11b,clean,high,16,1.0
llama3.2-vision-11b,clean,low,8,1.0
llama3.2-vision-11b,clean,medium,16,1.0
llama3.2-vision-11b,gaussian_sensor_0.3,critical,10,1.0
llama3.2-vision-11b,gaussian_sensor_0.3,high,16,0.875
llama3.2-vision-11b,gaussian_sensor_0.3,low,8,0.75
llama3.2-vision-11b,gaussian_sensor_0.3,medium,16,0.9375
llama3.2-vision-11b,gaussian_sensor_0.7,critical,10,1.0
llama3.2-vision-11b,gaussian_sensor_0.7,high,16,0.875
llama3.2-vision-11b,gaussian_sensor_0.7,low,8,0.875
llama3.2-vision-11b,gaussian_sensor_0.7,medium,16,1.0
llama3.2-vision-11b,low_illumination_0.3,critical,10,1.0
llama3.2-vision-11b,low_illumination_0.3,high,16,1.0
llama3.2-vision-11b,low_illumination_0.3,low,8,1.0
llama3.2-vision-11b,low_illumination_0.3,medium,16,0.9375
llama3.2-vision-11b,low_illumination_0.7,critical,10,0.9
llama3.2-vision-11b,low_illumination_0.7,high,16,1.0
llama3.2-vision-11b,low_illumination_0.7,low,8,1.0
llama3.2-vision-11b,low_illumination_0.7,medium,16,0.9375
llama3.2-vision-11b,motion_blur_0.3,critical,10,1.0
llama3.2-vision-11b,motion_blur_0.3,high,16,1.0
llama3.2-vision-11b,motion_blur_0.3,low,8,1.0
llama3.2-vision-11b,motion_blur_0.3,medium,16,1.0
llama3.2-vision-11b,motion_blur_0.7,critical,10,1.0
llama3.2-vision-11b,motion_blur_0.7,high,16,1.0
llama3.2-vision-11b,motion_blur_0.7,low,8,1.0
llama3.2-vision-11b,motion_blur_0.7,medium,16,0.9375
