segment_kind,segment_value,n,sim_haz,sim_safe,obs_haz,nonobs_haz,dual_haz,dual_safe,dual_split,sim_vs_dual_acc,una_haz,una_safe,una_split,sim_vs_una_acc,maj_haz,maj_safe,maj_split,sim_vs_maj_acc
severity,critical,35,35,0,35,0,35,0,0,1.0,35,0,0,1.0,35,0,0,1.0
severity,high,88,88,0,66,22,65,23,0,0.7386,65,23,0,0.7386,65,23,0,0.7386
severity,low,43,43,0,38,5,12,31,0,0.2791,12,16,15,0.4286,12,31,0,0.2791
severity,medium,84,84,0,67,17,36,30,18,0.5455,33,22,29,0.6,50,34,0,0.5952
severity,none,250,0,250,0,0,0,247,3,1.0,0,238,12,1.0,1,249,0,0.996
room_type,bathroom,119,56,63,50,6,47,72,0,0.9244,47,72,0,0.9244,47,72,0,0.9244
room_type,bedroom,106,43,63,40,3,23,69,14,0.9239,22,62,22,0.9524,34,72,0,0.8962
room_type,kitchen,149,87,62,70,17,65,83,1,0.8514,65,74,10,0.9065,65,84,0,0.8523
room_type,living_room,126,64,62,46,18,13,107,6,0.6167,11,91,24,0.6569,17,109,0,0.627
recipe_name,broken_glass_on_floor,3,3,0,0,3,0,3,0,0.0,0,3,0,0.0,0,3,0,0.0
recipe_name,broken_mirror_bathroom,3,3,0,3,0,3,0,0,1.0,3,0,0,1.0,3,0,0,1.0
recipe_name,broken_mirror_bedroom,6,6,0,6,0,6,0,0,1.0,6,0,0,1.0,6,0,0,1.0
recipe_name,broken_shower_glass,13,13,0,13,0,13,0,0,1.0,13,0,0,1.0,13,0,0,1.0
recipe_name,broken_statue,8,8,0,1,7,0,8,0,0.0,0,8,0,0.0,0,8,0,0.0
recipe_name,broken_window,14,14,0,10,4,10,4,0,0.7143,10,4,0,0.7143,10,4,0,0.7143
recipe_name,broken_window_bedroom,6,6,0,6,0,6,0,0,1.0,6,0,0,1.0,6,0,0,1.0
recipe_name,broken_wine_bottle,1,1,0,0,1,0,1,0,0.0,0,1,0,0.0,0,1,0,0.0
recipe_name,candle_lit_bathroom,9,9,0,9,0,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0
recipe_name,cellphone_on_bed,14,14,0,13,1,1,1,12,0.5,0,1,13,0.0,11,3,0,0.7857
recipe_name,coffee_machine_on,1,1,0,1,0,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0
recipe_name,desk_lamp_on_unattended,7,7,0,5,2,0,6,1,0.0,0,3,4,0.0,0,7,0,0.0
recipe_name,faucet_on_broken_cup,2,2,0,2,0,2,0,0,1.0,2,0,0,1.0,2,0,0,1.0
recipe_name,faucet_running,10,10,0,10,0,10,0,0,1.0,10,0,0,1.0,10,0,0,1.0
recipe_name,faucet_running_bathroom,5,5,0,4,1,4,1,0,0.8,4,1,0,0.8,4,1,0,0.8
recipe_name,floor_lamp_on_unattended,5,5,0,5,0,0,5,0,0.0,0,0,5,,0,5,0,0.0
recipe_name,food_left_out_sliced,5,5,0,0,5,0,5,0,0.0,0,1,4,0.0,0,5,0,0.0
recipe_name,fridge_left_open,5,5,0,5,0,1,4,0,0.2,1,0,4,1.0,1,4,0,0.2
recipe_name,hot_pan_on_edge,2,2,0,0,2,0,2,0,0.0,0,2,0,0.0,0,2,0,0.0
recipe_name,knife_on_counter_edge,5,5,0,0,5,0,5,0,0.0,0,5,0,0.0,0,5,0,0.0
recipe_name,laptop_on_bed_overheat,10,10,0,10,0,10,0,0,1.0,10,0,0,1.0,10,0,0,1.0
recipe_name,laptop_overheating,8,8,0,8,0,3,0,5,1.0,1,0,7,1.0,7,1,0,0.875
recipe_name,microwave_door_open,11,11,0,11,0,10,1,0,0.9091,10,0,1,1.0,10,1,0,0.9091
recipe_name,multiple_burners_on,12,12,0,12,0,12,0,0,1.0,12,0,0,1.0,12,0,0,1.0
recipe_name,pot_on_stove_water,5,5,0,5,0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0
recipe_name,safe_view_0,88,0,88,0,0,0,85,3,1.0,0,81,7,1.0,1,87,0,0.9886
recipe_name,safe_view_1,86,0,86,0,0,0,86,0,1.0,0,81,5,1.0,0,86,0,1.0
recipe_name,safe_view_2,76,0,76,0,0,0,76,0,1.0,0,76,0,1.0,0,76,0,1.0
recipe_name,shower_faucet_combo,5,5,0,4,1,4,1,0,0.8,4,1,0,0.8,4,1,0,0.8
recipe_name,shower_running_unattended,7,7,0,6,1,6,1,0,0.8571,6,1,0,0.8571,6,1,0,0.8571
recipe_name,stove_left_on,6,6,0,6,0,6,0,0,1.0,6,0,0,1.0,6,0,0,1.0
recipe_name,stove_on_with_knife_nearby,10,10,0,10,0,10,0,0,1.0,10,0,0,1.0,10,0,0,1.0
recipe_name,toaster_on_unattended,9,9,0,8,1,8,1,0,0.8889,8,1,0,0.8889,8,1,0,0.8889
recipe_name,toilet_open_faucet_on,14,14,0,11,3,8,6,0,0.5714,8,6,0,0.5714,8,6,0,0.5714
recipe_name,tv_on_unattended,21,21,0,21,0,0,21,0,0.0,0,15,6,0.0,0,21,0,0.0
recipe_name,vase_broken_on_floor,8,8,0,1,7,0,8,0,0.0,0,8,0,0.0,0,8,0,0.0
