recipe_name,n_hazard,n_observable,observability_rate,dual_acc_observable,dual_acc_all,maj_acc_observable,maj_acc_all
broken_glass_on_floor,3,0,0.0,,0.0,,0.0
broken_mirror_bathroom,3,3,1.0,1.0,1.0,1.0,1.0
broken_mirror_bedroom,6,6,1.0,1.0,1.0,1.0,1.0
broken_shower_glass,13,13,1.0,1.0,1.0,1.0,1.0
broken_statue,8,1,0.125,0.0,0.0,0.0,0.0
broken_window,14,10,0.7143,1.0,0.7143,1.0,0.7143
broken_window_bedroom,6,6,1.0,1.0,1.0,1.0,1.0
broken_wine_bottle,1,0,0.0,,0.0,,0.0
candle_lit_bathroom,9,9,1.0,1.0,1.0,1.0,1.0
cellphone_on_bed,14,13,0.9286,1.0,0.5,0.8462,0.7857
coffee_machine_on,1,1,1.0,1.0,1.0,1.0,1.0
desk_lamp_on_unattended,7,5,0.7143,0.0,0.0,0.0,0.0
faucet_on_broken_cup,2,2,1.0,1.0,1.0,1.0,1.0
faucet_running,10,10,1.0,1.0,1.0,1.0,1.0
faucet_running_bathroom,5,4,0.8,1.0,0.8,1.0,0.8
floor_lamp_on_unattended,5,5,1.0,0.0,0.0,0.0,0.0
food_left_out_sliced,5,0,0.0,,0.0,,0.0
fridge_left_open,5,5,1.0,0.2,0.2,0.2,0.2
hot_pan_on_edge,2,0,0.0,,0.0,,0.0
knife_on_counter_edge,5,0,0.0,,0.0,,0.0
laptop_on_bed_overheat,10,10,1.0,1.0,1.0,1.0,1.0
laptop_overheating,8,8,1.0,1.0,1.0,0.875,0.875
microwave_door_open,11,11,1.0,0.9091,0.9091,0.9091,0.9091
multiple_burners_on,12,12,1.0,1.0,1.0,1.0,1.0
pot_on_stove_water,5,5,1.0,1.0,1.0,1.0,1.0
shower_faucet_combo,5,4,0.8,1.0,0.8,1.0,0.8
shower_running_unattended,7,6,0.8571,1.0,0.8571,1.0,0.8571
stove_left_on,6,6,1.0,1.0,1.0,1.0,1.0
stove_on_with_knife_nearby,10,10,1.0,1.0,1.0,1.0,1.0
toaster_on_unattended,9,8,0.8889,1.0,0.8889,1.0,0.8889
toilet_open_faucet_on,14,11,0.7857,0.7273,0.5714,0.7273,0.5714
tv_on_unattended,21,21,1.0,0.0,0.0,0.0,0.0
vase_broken_on_floor,8,1,0.125,0.0,0.0,0.0,0.0
